Vortexy Roninkoi 04.06.2020 22:55:16
Loading data/cube/cube.cfg
FACES 3592
C 0/3592 n 13
C 1/3592 n 13
C 2/3592 n 11
C 3/3592 n 13
C 4/3592 n 10
C 5/3592 n 6
C 6/3592 n 7
C 7/3592 n 9
C 8/3592 n 7
C 9/3592 n 10
C 10/3592 n 10
C 11/3592 n 7
C 12/3592 n 13
C 13/3592 n 14
C 14/3592 n 14
C 15/3592 n 15
C 16/3592 n 11
C 17/3592 n 14
C 18/3592 n 10
C 19/3592 n 11
C 20/3592 n 8
C 21/3592 n 9
C 22/3592 n 10
C 23/3592 n 9
C 24/3592 n 9
C 25/3592 n 11
C 26/3592 n 10
C 27/3592 n 10
C 28/3592 n 13
C 29/3592 n 11
C 30/3592 n 12
C 31/3592 n 12
C 32/3592 n 9
C 33/3592 n 9
C 34/3592 n 10
C 35/3592 n 10
C 36/3592 n 10
C 37/3592 n 10
C 38/3592 n 8
C 39/3592 n 10
C 40/3592 n 11
C 41/3592 n 12
C 42/3592 n 11
C 43/3592 n 8
C 44/3592 n 12
C 45/3592 n 12
C 46/3592 n 11
C 47/3592 n 7
C 48/3592 n 13
C 49/3592 n 14
C 50/3592 n 13
C 51/3592 n 12
C 52/3592 n 14
C 53/3592 n 13
C 54/3592 n 14
C 55/3592 n 15
C 56/3592 n 13
C 57/3592 n 13
C 58/3592 n 13
C 59/3592 n 8
C 60/3592 n 12
C 61/3592 n 10
C 62/3592 n 10
C 63/3592 n 11
C 64/3592 n 15
C 65/3592 n 14
C 66/3592 n 14
C 67/3592 n 10
C 68/3592 n 10
C 69/3592 n 10
C 70/3592 n 8
C 71/3592 n 11
C 72/3592 n 12
C 73/3592 n 11
C 74/3592 n 12
C 75/3592 n 5
C 76/3592 n 9
C 77/3592 n 7
C 78/3592 n 9
C 79/3592 n 12
C 80/3592 n 13
C 81/3592 n 12
C 82/3592 n 9
C 83/3592 n 11
C 84/3592 n 9
C 85/3592 n 10
C 86/3592 n 8
C 87/3592 n 9
C 88/3592 n 6
C 89/3592 n 6
C 90/3592 n 9
C 91/3592 n 6
C 92/3592 n 10
C 93/3592 n 5
C 94/3592 n 9
C 95/3592 n 11
C 96/3592 n 6
C 97/3592 n 10
C 98/3592 n 5
C 99/3592 n 12
C 100/3592 n 13
C 101/3592 n 12
C 102/3592 n 13
C 103/3592 n 5
C 104/3592 n 10
C 105/3592 n 11
C 106/3592 n 6
C 107/3592 n 6
C 108/3592 n 6
C 109/3592 n 9
C 110/3592 n 9
C 111/3592 n 12
C 112/3592 n 11
C 113/3592 n 11
C 114/3592 n 8
C 115/3592 n 7
C 116/3592 n 5
C 117/3592 n 9
C 118/3592 n 9
C 119/3592 n 13
C 120/3592 n 15
C 121/3592 n 14
C 122/3592 n 14
C 123/3592 n 13
C 124/3592 n 16
C 125/3592 n 11
C 126/3592 n 10
C 127/3592 n 16
C 128/3592 n 11
C 129/3592 n 13
C 130/3592 n 10
C 131/3592 n 9
C 132/3592 n 10
C 133/3592 n 10
C 134/3592 n 11
C 135/3592 n 11
C 136/3592 n 13
C 137/3592 n 12
C 138/3592 n 10
C 139/3592 n 9
C 140/3592 n 10
C 141/3592 n 8
C 142/3592 n 9
C 143/3592 n 12
C 144/3592 n 13
C 145/3592 n 10
C 146/3592 n 13
C 147/3592 n 10
C 148/3592 n 7
C 149/3592 n 10
C 150/3592 n 11
C 151/3592 n 9
C 152/3592 n 6
C 153/3592 n 6
C 154/3592 n 13
C 155/3592 n 12
C 156/3592 n 11
C 157/3592 n 10
C 158/3592 n 11
C 159/3592 n 12
C 160/3592 n 12
C 161/3592 n 7
C 162/3592 n 15
C 163/3592 n 15
C 164/3592 n 15
C 165/3592 n 13
C 166/3592 n 14
C 167/3592 n 14
C 168/3592 n 12
C 169/3592 n 10
C 170/3592 n 14
C 171/3592 n 11
C 172/3592 n 12
C 173/3592 n 15
C 174/3592 n 10
C 175/3592 n 8
C 176/3592 n 10
C 177/3592 n 10
C 178/3592 n 10
C 179/3592 n 11
C 180/3592 n 10
C 181/3592 n 9
C 182/3592 n 9
C 183/3592 n 10
C 184/3592 n 11
C 185/3592 n 8
C 186/3592 n 16
C 187/3592 n 18
C 188/3592 n 11
C 189/3592 n 13
C 190/3592 n 6
C 191/3592 n 9
C 192/3592 n 6
C 193/3592 n 9
C 194/3592 n 13
C 195/3592 n 12
C 196/3592 n 10
C 197/3592 n 7
C 198/3592 n 15
C 199/3592 n 12
C 200/3592 n 11
C 201/3592 n 12
C 202/3592 n 16
C 203/3592 n 15
C 204/3592 n 13
C 205/3592 n 14
C 206/3592 n 9
C 207/3592 n 9
C 208/3592 n 10
C 209/3592 n 12
C 210/3592 n 10
C 211/3592 n 9
C 212/3592 n 8
C 213/3592 n 11
C 214/3592 n 14
C 215/3592 n 16
C 216/3592 n 14
C 217/3592 n 14
C 218/3592 n 14
